0, 285.0356294536816
2.9999999999999982, 247.9809976247031
4.75, 213.7767220902613
7.000000000000002, 171.02137767220907
10, 145.3681710213777
14.000000000000004, 142.5178147268408
17.000000000000004, 153.9192399049881
20.749999999999996, 151.06888361045122
23.749999999999993, 162.47030878859857
28, 182.4228028503561
30.750000000000007, 230.8788598574822
33, 259.3824228028503
34.99999999999999, 287.8859857482185
37, 361.99524940617573
38.74999999999999, 424.70308788598567
40, 470.3087885985748
41.75, 535.8669833729215
43.50000000000001, 621.3776722090261
44.75, 686.935866983373
46, 755.3444180522564
47.5, 812.351543942993
48.749999999999986, 889.3111638954867
